;Airline_Name;Date_of_Journey;Source;Destination;Dept_Time;Total_Stops;Duration_of_Flight;Arr_Time;Fare
0;AirAsia;26/02/2022;Kolkata;Mumbai;13:30;1 stop ;07 h 05 m;20:35;3 379
1;AirAsia;26/02/2022;Kolkata;Mumbai;9:05;2 stop ;13 h 10 m;22:15;3 379
2;AirAsia;26/02/2022;Kolkata;Mumbai;16:15;1 stop ;08 h 20 m;0:35;3 379
3;AirAsia;26/02/2022;Kolkata;Mumbai;23:40;1 stop ;06 h 55 m;6:35;3 379
4;AirAsia;26/02/2022;Kolkata;Mumbai;20:00;1 stop ;10 h 35 m;6:35;3 379
5;AirAsia;26/02/2022;Kolkata;Mumbai;19:45;2 stop ;11 h 30 m;7:15;3 379
6;Go First;26/02/2022;Kolkata;Mumbai;4:55;Non stop;02 h 50 m;7:45;3 380
7;Go First;26/02/2022;Kolkata;Mumbai;17:30;Non stop;02 h 50 m;20:20;3 380
8;Spicejet;26/02/2022;Kolkata;Mumbai;21:55;Non stop;02 h 50 m;0:45;3 380
9;IndiGo;26/02/2022;Kolkata;Mumbai;7:30;Non stop;02 h 50 m;10:20;3 381
10;IndiGo;26/02/2022;Kolkata;Mumbai;8:55;Non stop;03 h 10 m;12:05;3 381
11;Air India;26/02/2022;Kolkata;Mumbai;9:40;Non stop;02 h 45 m;12:25;3 381
12;IndiGo;26/02/2022;Kolkata;Mumbai;10:10;Non stop;02 h 55 m;13:05;3 381
13;Vistara;26/02/2022;Kolkata;Mumbai;10:25;Non stop;02 h 35 m;13:00;3 381
14;Vistara;26/02/2022;Kolkata;Mumbai;17:35;Non stop;02 h 45 m;20:20;3 381
15;Vistara;26/02/2022;Kolkata;Mumbai;20:35;Non stop;02 h 55 m;23:30;3 381
16;Air India;26/02/2022;Kolkata;Mumbai;13:00;1 stop ;04 h 50 m;17:50;3 381
17;Go First;26/02/2022;Kolkata;Mumbai;12:30;Non stop;02 h 50 m;15:20;3 930
18;AirAsia;26/02/2022;Kolkata;Mumbai;7:40;1 stop ;14 h 35 m;22:15;4 168
